Hyacinthe,Malanie,%2B12427118382,NFCBandS1_KMRYETASZU,BS
Vonny,Bollay,%2B12421758179,NFCBandS1_JUWLTMBTTW,BS
Tersina,Dawkins,%2B12428350278,NFCBandS1_XIECTQJXPM,BS
Sidoney,Oster,%2B12426730295,NFCBandS1_GCWPYAZDMR,BS
Norine,Sholley,%2B12428361969,NFCBandS1_RIHPTJPXNS,BS
Hildegaard,Astra,%2B12428967135,NFCBandS1_JPDKJLUUFP,BS
Ana,Forrer,%2B12429934345,NFCBandS1_AOZJSRBVIA,BS
Priscilla,Felecia,%2B12428851901,NFCBandS1_TUCHOSHKKP,BS
Isa,Juan,%2B12428894620,NFCBandS1_YSNQBYGNRA,BS
Iseabal,Silvan,%2B12428472026,NFCBandS1_VJRKQKKFDL,BS
Danny,Joseph,%2B12426037831,NFCBandS1_KAMOYHOENZ,BS
Hannis,Hoban,%2B12422810061,NFCBandS1_WXHHHXVYAA,BS
Reeba,Timon,%2B12429234480,NFCBandS1_APCDZHTPTQ,BS
Starla,Sophronia,%2B12422317559,NFCBandS1_QGNSVXKGQU,BS
Gwenneth,Podvin,%2B12421564415,NFCBandS1_LCBMYSEMUE,BS
Orelia,Wildermuth,%2B12421128656,NFCBandS1_PORQLGMIPG,BS
Anthia,Frodi,%2B12426783459,NFCBandS1_UJKMQSFRPW,BS
Jenilee,Claudine,%2B12427733005,NFCBandS1_MGERFQSNHJ,BS
Dorothy,Byrne,%2B12421486655,NFCBandS1_NABNLKHYMQ,BS
June,Cimbura,%2B12420361714,NFCBandS1_LUFMYUUTAT,BS
